"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11070","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:17 PST 2025","failed","Wed Oct 08 17:17:28 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11783","First Name Input Field Should Not Accept All Numbers","Chromium Browser","Wed Oct 08 17:16:32 PST 2025","failed","Wed Oct 08 17:16:44 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","1008","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:16 PST 2025","passed","Wed Oct 08 17:17:17 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11015","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:21 PST 2025","failed","Wed Oct 08 17:17:32 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1341","First Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:01 PST 2025","passed","Wed Oct 08 17:17:02 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11111","Email Input Field Should Not Accept Invalid Format","Chromium Browser","Wed Oct 08 17:16:45 PST 2025","failed","Wed Oct 08 17:16:57 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","1243","Phone Number Input Field Should Not Accept No Input","Chromium Browser","Wed Oct 08 17:16:57 PST 2025","passed","Wed Oct 08 17:16:58 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","1192","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Wed Oct 08 17:17:00 PST 2025","passed","Wed Oct 08 17:17:01 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11251","Last Name Input Field Should Not No Input","Chromium Browser","Wed Oct 08 17:16:57 PST 2025","failed","Wed Oct 08 17:17:08 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","11072","Email Input Field Should Not Accept No Input","Chromium Browser","Wed Oct 08 17:16:57 PST 2025","failed","Wed Oct 08 17:17:09 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","1006","Password Field Should Not Accept No Input","Chromium Browser","Wed Oct 08 17:16:59 PST 2025","passed","Wed Oct 08 17:17:00 PST 2025","Required Fields Valdations","ui/requiredFieldsValidations.spec.ts","",""
"","11022","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:09 PST 2025","failed","Wed Oct 08 17:17:20 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","1121","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:14 PST 2025","passed","Wed Oct 08 17:17:15 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11055","Phone Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:20 PST 2025","failed","Wed Oct 08 17:17:31 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","11216","Country Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:09 PST 2025","failed","Wed Oct 08 17:17:20 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11116","Terms and Conditions Checkbox Should Be Checked To Submit The Form","Chromium Browser","Wed Oct 08 17:16:46 PST 2025","failed","Wed Oct 08 17:16:57 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11494","Phone Number Input Field Should Not Accept All Letters","Chromium Browser","Wed Oct 08 17:16:32 PST 2025","failed","Wed Oct 08 17:16:44 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11100","Phone Number Input Field Should Not Accept Number and Letters","Chromium Browser","Wed Oct 08 17:16:45 PST 2025","failed","Wed Oct 08 17:16:57 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","11419","Last Name Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:02 PST 2025","failed","Wed Oct 08 17:17:13 PST 2025","Submit Form And Validate Result Section - First Name Input Field Is Blank","ui/submitFormNoFirstNameTests.spec.ts","",""
"","11462","Last Name Input Field Should Not Accept All Numbers","Chromium Browser","Wed Oct 08 17:16:32 PST 2025","failed","Wed Oct 08 17:16:44 PST 2025","Input Fields Valdations","ui/inputFieldsValidations.spec.ts","",""
"","1110","Email Submitted Info Should Be Matched On Results Section","Chromium Browser","Wed Oct 08 17:17:29 PST 2025","passed","Wed Oct 08 17:17:30 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
"","1032","Form Should Be Submited Even First Name Input Field Is Blank - Not Required Field","Chromium Browser","Wed Oct 08 17:17:15 PST 2025","passed","Wed Oct 08 17:17:16 PST 2025","Submit Form And Validate Result Section - With First Name","ui/submitFormWithFirstNameTests.spec.ts","",""
